Month,Aug -Sep 2020,,
User,Functional user account desc(Appln /tool name),Interface (Cpws),
ADPAURE ,Auto Release ID for ADP                                         ,PDI ,
ADPAUTO ,ADP Automation                                                  ,PDI ,
ADPKIBA ,Kibana in ADP                                                   ,PDI ,
ADPTSEC ,ADPTSEC (FID release automation)                                ,PDI ,
ARWAUTO ,Eiffel007 functional account                                    ,PDI ,
BAZAAR  ,3PPT SW BAZAAR                                                  ,PDI ,
BCATJOB ,BCAT Common Software releases                                   ,PDI ,
BDFLASH ,for CID team                                                    ,PDI ,
BSSCICD ,OSS/BSS SYSTEMS                                                 ,PDI ,
CIFLASH ,PDU SYSTEMS CI                                                  ,PDI ,
EADPHUB ,Fucntional ID for the ADP Hub                                   ,PDI ,
EDXPOPS ,DxP DevOps                                                      ,PDI ,
EEDAUMI ,UMI user for GASKing                                            ,PDI ,
EFEATST ,FEATURE STORE                                                   ,Lighthouse     ,
EMMGWCI ,LMF M-MGw CI                                                    ,PDI ,
ESWBAPP ,SWB Application                                                 ,SWB            ,
ETAAREL ,ETA RELEASE                                                     ,PDI ,
GWSCM1  ,SCM id number 1 for Gateway                                     ,pdmservice     ,
KACXAPI ,Karlskrona CX API                                               ,PDI ,
NGSUSER ,Athena Project Functional ID                                    ,PDI ,
PCLAXBS ,PDU CL sw delivery test id                                      ,PDI ,
PDMPRIM ,System user for integration of PDM Link                         ,PDMLink        ,
RBSG2CA ,RBS6000 G2 certified archive user                               ,pdmservice     ,
RCSCI1  ,RCS CI Functional User                                          ,PDI ,
RMSUSEP ,RMS PROD SYSTEM USER FOR TRACY                    ,sapcrm         ,
ROTPRIM ,PRIM signum for Rotor access                                    ,Rotor          ,
SGSNINFR,sgsn infra functional id                                        ,pdmservice     ,
SUPERCM ,PRIM Super User                                                 ,DURA_PDMTOOL   ,
U1PDSRV ,Product Data mgmt SeRVices (EBIP user)                          ,EBIP_SWGW      ,
U1PDSRV ,Product Data mgmt SeRVices (EBIP user)                          ,MDGInfoHub     ,
V1DPRO  ,PDU PC Deployment Pipeline VER RO 1                             ,PDI ,
V1GSMCM ,User for automated tasks for BSS /CDD Automation                               ,PDI ,
V1PRIMPP,PIM Cloud & Core Networks PP                                    ,PDI ,
V2PDRW  ,PDU PC Deployment Pipeline VER RW 2                             ,PDI ,
ZAPHOD1 ,PC release pipeline                                             ,PDI ,
